name,main_category,image,ratings,no_of_ratings,actual_price,source_file,actual_price_usd,ranking_score,product_id,search_text
Aston Andia Women Waist Cinchers Corset Adjustable Hook&Eye Closure Workout Trainer Flexible Body Shaper Weight Loss Belt...,Womens Innerwear,https://m.media-amazon.com/images/I/51qLMr3FeaL._AC_UL320_.jpg,4.0,43,999,Womens Innerwear.csv,10.99,3.68,0,product: aston andia women waist cinchers corset adjustable hook&eye closure workout trainer flexible body shaper weight loss belt.... category: womens innerwear. price: $10.99. rating: 4.0 out of 5. reviews: 43. aston andia women waist cinchers corset adjustable hook&eye closure workout trainer flexible body shaper weight loss belt...
"Floret Women's Cotton Non Padded Wire Free T-Shirt, Full-Coverage, Seamless Bra (T3050C_Skin_34_Beige_34B)",Womens Innerwear,https://m.media-amazon.com/images/I/61sBzjDk7WL._AC_UL320_.jpg,4.0,1,399,Womens Innerwear.csv,4.39,2.91,1,"product: floret women's cotton non padded wire free t-shirt, full-coverage, seamless bra (t3050c_skin_34_beige_34b). category: womens innerwear. price: $4.39. rating: 4.0 out of 5. reviews: 1. floret women's cotton non padded wire free t-shirt, full-coverage, seamless bra (t3050c_skin_34_beige_34b)"
DOT WAVE Women's Cotton Pyjamas - Loungepants - Pack of 2 - with Pocket,Womens Innerwear,https://m.media-amazon.com/images/I/81qQK0+n4pL._AC_UL320_.jpg,4.0,153,1699,Womens Innerwear.csv,18.69,3.89,2,product: dot wave women's cotton pyjamas - loungepants - pack of 2 - with pocket. category: womens innerwear. price: $18.69. rating: 4.0 out of 5. reviews: 153. dot wave women's cotton pyjamas - loungepants - pack of 2 - with pocket
"Bali womens Comfort Revolution Wireless T-shirt Bra, Full-coverage Pullover Bra, Df3491",Womens Innerwear,https://m.media-amazon.com/images/I/81ReKuvZQrL._AC_UL320_.jpg,4.0,9328,1500,Womens Innerwear.csv,16.5,4.25,3,"product: bali womens comfort revolution wireless t-shirt bra, full-coverage pullover bra, df3491. category: womens innerwear. price: $16.5. rating: 4.0 out of 5. reviews: 9328. bali womens comfort revolution wireless t-shirt bra, full-coverage pullover bra, df3491"
TRYLO Women's Non-Wired Bra,Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71o+A7ihexL._AC_UL320_.jpg,4.0,11,435,Womens Innerwear.csv,4.78,3.43,4,product: trylo women's non-wired bra. category: womens innerwear. price: $4.78. rating: 4.0 out of 5. reviews: 11. trylo women's non-wired bra
"Van Heusen Women Cami Bra - Cotton Elastane - Seamless Cups, Non Padded, Wireless, Full Coverage",Womens Innerwear,https://m.media-amazon.com/images/I/71mE2K5FUjL._AC_UL320_.jpg,4.4,426,479,Womens Innerwear.csv,5.27,4.3,5,"product: van heusen women cami bra - cotton elastane - seamless cups, non padded, wireless, full coverage. category: womens innerwear. price: $5.27. rating: 4.4 out of 5. reviews: 426. van heusen women cami bra - cotton elastane - seamless cups, non padded, wireless, full coverage"
NYKD Women Cotton Panties Pack of 3,Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51wvG3ZzzSL._AC_UL320_.jpg,4.1,85,599,Womens Innerwear.csv,6.59,3.87,6,product: nykd women cotton panties pack of 3. category: womens innerwear. price: $6.59. rating: 4.1 out of 5. reviews: 85. nykd women cotton panties pack of 3
AV2 Women Satin Short Sleeve Top and Pyjama Nightsuit Set 2297,Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61tafJ24oKL._AC_UL320_.jpg,4.4,13,2299,Womens Innerwear.csv,25.29,3.74,7,product: av2 women satin short sleeve top and pyjama nightsuit set 2297. category: womens innerwear. price: $25.29. rating: 4.4 out of 5. reviews: 13. av2 women satin short sleeve top and pyjama nightsuit set 2297
Amazon Brand - Eden & Ivy Women Pajama Bottom,Womens Innerwear,https://m.media-amazon.com/images/I/81UxADJPJcL._AC_UL320_.jpg,4.2,248,2598,Womens Innerwear.csv,28.58,4.09,8,product: amazon brand - eden & ivy women pajama bottom. category: womens innerwear. price: $28.58. rating: 4.2 out of 5. reviews: 248. amazon brand - eden & ivy women pajama bottom
Generic Women's Cotton Printed Maxi Nighty (SR-NTY-105-Dipak-Blue_Blue_Free Size ( 36 TO 44 ) Adjustable),Womens Innerwear,https://m.media-amazon.com/images/I/61Q-E3Do56L._AC_UL320_.jpg,4.0,90,1250,Womens Innerwear.csv,13.75,3.81,9,product: generic women's cotton printed maxi nighty (sr-nty-105-dipak-blue_blue_free size ( 36 to 44 ) adjustable). category: womens innerwear. price: $13.75. rating: 4.0 out of 5. reviews: 90. generic women's cotton printed maxi nighty (sr-nty-105-dipak-blue_blue_free size ( 36 to 44 ) adjustable)
